Course,Section,Year,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
ANAT 381,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,Fieldhouse,38-39,AAA,ZZZ
ANSC 250,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
ANSC 323,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
ANSC 326,1,F2023,IN-PERSON - FORMAL EXAM - MAC CAMPUS,12-Dec-2023 at 9:00 AM,12-Dec-2023 at 12:00 PM,CENTEN,Ballroom,,AAA,ZZZ
ANTH 212,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,15-Dec-2023 at 2:00 PM,15-Dec-2023 at 5:00 PM,GYM,main gym,5-17,AAA,ZZZ
ANTH 307,1,F2023,ONLINE - TAKE-HOME - 72 HOURS,11-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ANTH 308,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 6:30 PM,7-Dec-2023 at 9:30 PM,GYM,Fieldhouse,11-12,AAA,ZZZ
ANTH 352,1,F2023,ONLINE - TAKE-HOME - 72 HOURS,15-Dec-2023 at 9:00 AM,18-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ANTH 358,1,F2023,ONLINE - TAKE-HOME - 10 Days,2-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,TAKE,HOME,,AAA,ZZZ
ARCH 201,1,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 303,1,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,215/114,,AAA,ZZZ
ARCH 303,2,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,215/114,,AAA,ZZZ
ARCH 303,3,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,215/114,,AAA,ZZZ
ARCH 354,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,31-32,AAA,ZZZ
ARCH 354,2,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,31-32,AAA,ZZZ
ARCH 375,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 1:00 PM,MDHAR,212,,AAA,ZZZ
ARCH 405,1,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 405,2,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 405,3,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 405,7,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 672,1,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,13-Dec-2023 at 5:00 PM,MDHAR,518/512,,AAA,ZZZ
ARCH 676,1,F2023,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,15-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARTH 207,1,F2023,ONLINE - TAKE-HOME - 72 HOURS,16-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,TAKE,HOME,,AAA,ZZZ
ARTH 225,1,F2023,ONLINE - TAKE-HOME - 7 DAYS,7-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ATOC 181,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,Fieldhouse,29-32,AAA,ZZZ
ATOC 182,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,main gym,5-9,AAA,ZZZ
ATOC 185,1,F2023,ONLINE - TIMED EXAM - 72 HOURS,8-Dec-2023 at 2:00 PM,11-Dec-2023 at 2:00 PM,ONLINE,EXAM,,AAA,ZZZ
ATOC 214,1,F2023,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,main gym,4-6,AAA,ZZZ
ATOC 312,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,BURNSIDE,719A,,AAA,ZZZ
ATOC 315,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,BURNSIDE,934,,AAA,ZZZ
ATOC 531,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,BURNSIDE,719A,,AAA,ZZZ
ATOC 540,1,F2023,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,BURNSIDE,719A,,AAA,ZZZ
