Course,Section,Course_Title,Exam_Type,Exam_Start_Time,Exam_End_Time,Building,Room,Rows_From,Row_Start,Row_End
ARCH 303,1,Design and Construction 1,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,215/114,,AAA,ZZZ
ARCH 303,2,Design and Construction 1,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,215/114,,AAA,ZZZ
ARCH 303,3,Design and Construction 1,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,8-Dec-2023 at 5:00 PM,MDHAR,215/114,,AAA,ZZZ
ARCH 354,1,Architectural History 3,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,31-32,AAA,ZZZ
ARCH 354,2,Architectural History 3,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 6:30 PM,19-Dec-2023 at 9:30 PM,GYM,Fieldhouse,31-32,AAA,ZZZ
ARCH 375,1,Landscape,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,8-Dec-2023 at 9:00 AM,8-Dec-2023 at 1:00 PM,MDHAR,212,,AAA,ZZZ
ARCH 405,1,Design and Construction 3,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 405,2,Design and Construction 3,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 405,3,Design and Construction 3,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 405,7,Design and Construction 3,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,11-Dec-2023 at 9:00 AM,12-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARCH 672,1,Architectural Design Studio 1,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,12-Dec-2023 at 9:00 AM,13-Dec-2023 at 5:00 PM,MDHAR,518/512,,AAA,ZZZ
ARCH 676,1,Advanced Architectural Design,IN-PERSON - TWO DAY ORAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,15-Dec-2023 at 5:00 PM,MDHAR,101/102/114,,AAA,ZZZ
ARTH 207,1,Intro Early Mod. Art 1400-1700,ONLINE - TAKE-HOME - 72 HOURS,16-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,TAKE,HOME,,AAA,ZZZ
ARTH 225,1,Intro to 17th-Century Art,ONLINE - TAKE-HOME - 7 DAYS,7-Dec-2023 at 9:00 AM,14-Dec-2023 at 9:00 AM,TAKE,HOME,,AAA,ZZZ
ATOC 181,1,Intro to Atmospheric Science,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,21-Dec-2023 at 2:00 PM,21-Dec-2023 at 5:00 PM,GYM,Fieldhouse,29-32,AAA,ZZZ
ATOC 182,1,Intro to Oceanic Sciences,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,GYM,main gym,5-9,AAA,ZZZ
ATOC 185,1,Natural Disasters,ONLINE - TIMED EXAM - 72 HOURS,8-Dec-2023 at 2:00 PM,11-Dec-2023 at 2:00 PM,ONLINE,EXAM,,AAA,ZZZ
ATOC 214,1,Intro:Physics of the Atmosph,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,main gym,4-6,AAA,ZZZ
ATOC 312,1,Rotating Fluid Dynamics,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,BURNSIDE,719A,,AAA,ZZZ
ATOC 315,1,Thermodynamics and Convection,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,20-Dec-2023 at 2:00 PM,20-Dec-2023 at 5:00 PM,BURNSIDE,934,,AAA,ZZZ
ATOC 531,1,Dynamics of Current Climates,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,BURNSIDE,719A,,AAA,ZZZ
ATOC 540,1,Synoptic Meteorology 1,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,18-Dec-2023 at 9:00 AM,18-Dec-2023 at 12:00 PM,BURNSIDE,719A,,AAA,ZZZ
BIEN 290,1,Bioengineering Measurement Lab,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,8-Dec-2023 at 2:00 PM,8-Dec-2023 at 5:00 PM,GYM,main gym,7-10,AAA,ZZZ
BIEN 310,1,Intro to Biomolecular Eng,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,ENGTR,100,,AAA,ZZZ
BIEN 314,1,Transp. Phenom in Biol. Sys 1,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,main gym,6-10,AAA,ZZZ
BIEN 410,1,Comput Methods in Biomol Eng,IN-PERSON - IN DEPARTMENT EXAM - D.T. CAMPUS,7-Dec-2023 at 9:00 AM,7-Dec-2023 at 12:00 PM,ENGTR,70,,AAA,ZZZ
BIOC 311,1,Metabolic Biochemistry,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,GYM,main gym,5-25,AAA,ZZZ
BIOC 320,1,Lab Meth in Biochem&Mol Biol 2,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 9:00 AM,13-Dec-2023 at 12:00 PM,GYM,Fieldhouse,28-29,AAA,ZZZ
BIOC 454,1,Nucleic Acids,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,20-Dec-2023 at 9:00 AM,20-Dec-2023 at 12:00 PM,GYM,Fieldhouse,40-41,AAA,ZZZ
BIOL 111,1,Principles:Organismal Biology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 6:30 PM,14-Dec-2023 at 9:30 PM,GYM,Fieldhouse,1-18,AAA,ZZZ
BIOL 115,1,Essential Biology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 9:00 AM,19-Dec-2023 at 12:00 PM,GYM,main gym,4-27,AAA,ZZZ
BIOL 200,1,Molecular Biology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,GYM,Fieldhouse,29-42,AAA,ZZZ
BIOL 200,2,Molecular Biology,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,13-Dec-2023 at 2:00 PM,13-Dec-2023 at 5:00 PM,GYM,Fieldhouse,9-28,AAA,ZZZ
BIOL 215,1,Intro to Ecology and Evolution,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Studio 1,1-7,AAA,LYU
BIOL 215,1,Intro to Ecology and Evolution,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Studio 2,1-7,MAC,ZZZ
BIOL 300,1,Molecular Biology of the Gene,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,12-Dec-2023 at 2:00 PM,12-Dec-2023 at 5:00 PM,GYM,Fieldhouse,25-26,AAA,ZZZ
BIOL 302,1,Fundls of Genetics & Genomics,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,14-Dec-2023 at 9:00 AM,14-Dec-2023 at 12:00 PM,GYM,Fieldhouse,30-32,AAA,ZZZ
BIOL 304,1,Evolution,IN-PERSON - FORMAL EXAM - D.T. CAMPUS,19-Dec-2023 at 2:00 PM,19-Dec-2023 at 5:00 PM,GYM,Fieldhouse,30,AAA,ZZZ
